"work_id","title","year","status","venue","primary_url","doi","arxiv_id","code_url","verification_status","theme","optimizer_family","state_target","current_update_effect","persistent_state_effect","detector_signal","clean_reference_required","noise_rate_required","extra_models","extra_forward_backward","extra_stage","peft_evidence","noisy_label_evidence","mechanism_evidence","efficiency_evidence","closest_overlap_class","direct_prior_risk","inclusion_decision","inclusion_reason","source_queries","audit_notes"
"O01","Adam: A Method for Stochastic Optimization","2015","published","ICLR 2015","https://arxiv.org/abs/1412.6980","","1412.6980","","official_arxiv_verified","optimizer_state_contamination","Adam","m;v;step counter","raw gradient enters both moment estimates and affects the current Adam step through bias-corrected moments","each gradient remains in exponentially decayed m and v and the step counter changes bias correction","none","no","no","one","one backward","one","no","no","definition-level recurrence","computationally efficient by design","foundational recurrence","context","context","Defines the state carriers and current-versus-persistent decomposition used by every comparison.","T1-M1;T1-M2;T1-M3","Foundational source only; it does not study corrupted labels or selective state protection."
"O02","TAdam: A Robust Stochastic Gradient Optimizer","2020","preprint","arXiv","https://arxiv.org/abs/2003.00179","","2003.00179","https://github.com/Mahoumaru/TAdam","official_arxiv_pdf_and_code_verified","robust_adam_momentum","Adam variant","m primarily; v remains Adam-style","a Student-t weight derived from Mahalanobis distance downweights an outlying gradient in the first-moment update and therefore also attenuates its current parameter effect","the downweighted gradient contributes less to persistent m; raw squared-gradient influence remains in v","Mahalanobis distance under Student-t model using the prior covariance/second-moment estimate","no","no","one","one backward","one","no","noise and outlier experiments but not a modern noisy-label PEFT protocol","algorithm and recurrence deep-read","same asymptotic order as Adam; extra scalar/vector weight operations","robust first-moment write","critical","deep_read","Closest established prior to selectively robustifying Adam's first moment while retaining an Adam-like second moment.","T3-M1;T3-M2;T1-M3","Its detector is gradient-outlier magnitude under a Student-t model, not label-quality or temporal sign consistency; current and persistent first-moment effects are not separated."
"O03","DP-AdamBC: Your DP-Adam Is Actually DP-SGD (Unless You Apply Bias Correction)","2024","published","AAAI 2024","https://ojs.aaai.org/index.php/AAAI/article/view/29451","10.1609/aaai.v38i14.29451","2312.14334","https://github.com/ubc-systopia/DP-AdamBC","official_aaai_page_and_pdf_verified","optimizer_state_contamination","DP-Adam variant","v","subtracts the analytically known DP-noise variance from the second-moment estimate before preconditioning the current update","removes a constant additive DP-noise bias from persistent v while leaving m recurrence unchanged","known Gaussian DP mechanism variance and clipping parameters","no","yes: privacy noise scale is known","one","one backward plus per-example DP gradient machinery","one","indirect: compatible with private fine-tuning","no label-noise evidence","published recurrence and empirical validation","reported image text and graph tasks; DP overhead is outside this method's incremental correction","known-noise second-moment correction","high","deep_read","Shows that corruption can be isolated to one Adam state channel and corrected without rewriting the other, but requires a known noise law.","T1-M3;T2-M2","Not evidence that label noise creates the same additive v bias; its correction is unusable without the DP mechanism's known variance."
"O04","AdaR: An Adaptive Gradient Method with Cyclical Restarting of Moment Estimations","2025","published","IJCAI 2025","https://www.ijcai.org/proceedings/2025/721","10.24963/ijcai.2025/721","","https://github.com/tHappo/AdaR","official_ijcai_page_and_pdf_verified","selective_moment_update","Adam variant","m;v in two alternating sets","the active moment set produces the current update while both active and inactive sets accumulate the raw current gradient","old m and v are discarded cyclically; an inactive set is reset at the interval midpoint and warmed before becoming active","fixed iteration interval rather than a sample-quality detector","no","no","one","one backward","one","no","noisy-gradient motivation but no label-noise evaluation","algorithm and experiments deep-read","two m/v sets; one RTX A4000; interval tuned by search","periodic whole-state restart","high","deep_read","Direct prior for limiting distant-gradient persistence by moment restart without an extra training stage.","T2-M1;T3-M2;T1-M2","It resets both moments on a clock and does not identify harmful batches; authors leave convergence analysis as future work."
"O05","SPAM: Spike-Aware Adam with Momentum Reset for Stable LLM Training","2025","published","ICLR 2025","https://openreview.net/forum?id=L9eBxTCpQG","","2501.06842","https://github.com/TianjinYellow/SPAM-Optimizer","official_openreview_arxiv_pdf_and_code_verified","robust_adam_momentum","Adam variant","current gradient;m;v","coordinates whose squared gradient divided by prior v exceeds a threshold are clipped before the Adam update, attenuating the current spike","both m and v receive the clipped gradient and are periodically reset; post-reset warm-up controls instability","coordinate spike score g_i^2/v_i plus fixed threshold and reset clock","no","no","one","one backward","one","indirect: supervised LLM fine-tuning but not noisy-label PEFT","no label-noise protocol","algorithm ablations and state-recovery plots deep-read","slight measured overhead; optional sparse momentum; reset warm-up adds scheduling complexity","spike clipping plus whole-state reset","critical","deep_read","Strong direct prior for detecting harmful gradients using existing Adam state and preventing their persistence.","T3-M3;T1-M3;T6-M3","It deliberately attenuates the current spike and protects both moments, so it does not implement current-effect preservation or m-only protection; threshold and reset interval require choices."
"O06","Stable-SPAM: How to Train in 4-Bit More Stably than 16-Bit Adam","2025","published","SCOPE at ICLR 2025","https://openreview.net/forum?id=Gk2pBIAMUl","","2502.17055v1","https://github.com/TianjinYellow/StableSPAM","official_openreview_verified; arxiv_identifier_later_retitled","robust_adam_momentum","SPAM variant","current gradient;m;v;gradient-norm statistics","adaptive clipping and matrix normalization alter the current gradient before it reaches the base optimizer","inherits periodic reset of both Adam moments and adds historical gradient-norm statistics","historical maxima and matrix-level norm statistics","no","no","one","one backward","one","yes: LoRA fine-tuning appendix","no label-noise evidence","official workshop algorithm and experiments","runtime and optimizer-memory tables reported for H100 experiments","adaptive spike suppression plus whole-state reset","high","deep_read","Extends SPAM and demonstrates LoRA compatibility, so it is a required implementation and baseline check.","T3-M3;T5-M3","The arXiv identifier later became GradientStabilizer; the workshop version is therefore anchored to OpenReview and must not be conflated with arXiv v3."
"O07","GradientStabilizer: Fix the Norm, Not the Gradient","2026","published","ICML 2026 / PMLR 306","https://arxiv.org/abs/2502.17055","","2502.17055v3","https://github.com/TianjinYellow/GradientStabilizer","official_arxiv_pdf_verified","robust_adam_momentum","optimizer-agnostic transform plus Adam","upstream gradient plus auxiliary norm EMAs; downstream m;v","replaces the raw gradient norm with the ratio of EMA mean to EMA RMS while preserving instantaneous direction, so current magnitude is changed","the stabilized gradient is written into all downstream optimizer moments; auxiliary norm EMAs persist separately","global gradient-norm variance through two EMAs; no threshold","no","no","one","one backward","one","no direct PEFT experiment in the verified version","no label-noise evidence","current ICML-version recurrence and bounds deep-read","described as lightweight; adds two scalar norm EMAs and norm reductions","threshold-free upstream gradient stabilization","critical","deep_read","Very close low-overhead alternative that bounds moment corruption, though it transforms current and persistent effects together.","T3-M1;T3-M3;T6-M3","Current arXiv v3 is a different method/title from Stable-SPAM v1; version-aware citation is mandatory."
"O08","Hidden Failure Modes of Gradient Modification under Adam in Continual Learning, and Adaptive Decoupled Moment Routing as a Repair","2026","preprint","arXiv","https://arxiv.org/abs/2604.22407","","2604.22407","","official_arxiv_html_verified; pdf_endpoint_unavailable","selective_moment_update","Adam with adaptive OGP","m and v receive different gradient versions","a projected gradient enters m and therefore the current numerator; raw gradient enters v and preserves magnitude-faithful preconditioning","modified and raw signals persist in separate moment pathways; adaptive projection strength depends on protected-subspace overlap","task-boundary low-rank gradient subspace and current overlap energy","no clean validation but previous-task structure required","no","one","one backward plus buffered-gradient SVD refresh","continual task-boundary setup","yes: 7B LoRA continual fine-tuning","no label-noise evidence","HTML algorithm recurrence and ablations deep-read","K=50 gradient buffer; randomized SVD; reported below 2 percent wall-clock at tested scales","decoupled moment-path routing","critical","deep_read","Establishes moment-path decoupling as prior art and is the strongest threat to a broad state-routing novelty claim.","T2-M2;T2-M3;T5-M3","Routes modified gradient to m and raw gradient to v for continual-learning projection; it does not preserve an unmodified current gradient term and requires task boundaries plus subspace machinery."
"O09","Optimizer Memory Makes Shuffle Order a First-Order Source of Fine-Tuning Noise","2026","preprint","arXiv","https://arxiv.org/abs/2606.29554","","2606.29554","","official_arxiv_pdf_verified","optimizer_state_contamination","analysis of AdamW momentum and SGD","m;v;bias-correction clock","no mitigation method; proves equal-multiset order can change the endpoint at first order for fixed-clock optimizer memory","position-dependent impulse weights persist through moment buffers preconditioner and counters","bitwise replay and order swaps","no","no","one","diagnostic replay and HVPs rather than a training method","diagnostic stage","yes: fine-tuning analysis","no label-noise evidence","lifted-state expansion and deterministic replay deep-read","provides seed-budget and replay diagnostics rather than a training overhead claim","state-memory causal evidence","high","deep_read","Supports the causal premise that optimizer memory converts transient order/noise events into persistent effects and constrains seed design.","T1-M1;T1-M2","It is a measurement/theory prior, not a robust optimizer; its result is local to fixed finite windows and does not prove label-noise dominance."
"O10","Adam on Local Time: Addressing Nonstationarity in RL with Relative Adam Timesteps","2024","published","NeurIPS 2024","https://proceedings.neurips.cc/paper_files/paper/2024/hash/f2733d3b0dde1d74995f35a9cf442d38-Abstract-Conference.html","10.52202/079017-4276","2412.17113","","official_neurips_page_and_pdf_verified","optimizer_state_contamination","Adam-Rel","bias-correction timestep","uses a local timestep after known target changes and thereby changes the scale of current Adam updates","the moment buffers remain but their bias-correction clock is reset relative to epochs or target changes","known nonstationarity boundary","no","no","one","one backward","one","no","no label-noise evidence","published analysis and RL experiments","drop-in clock change; no extra model pass","known-boundary clock reset","medium","context","Relevant control showing that not all optimizer-memory repairs modify moment writes.","T1-M2;T6-M1","Requires observable target/epoch boundaries and addresses RL magnitude shifts rather than stochastic mislabeled samples."
"O11","Cautious Optimizers: Improving Training with One Line of Code","2026","published","ICLR 2026","https://arxiv.org/abs/2411.16085","","2411.16085","https://github.com/kyleliang919/C-Optim","official_arxiv_pdf_and_openreview_verified","gradient_agreement","C-AdamW and other cautious variants","parameter update only; m and v unchanged","after standard m/v updates an elementwise mask removes update coordinates whose optimizer direction disagrees with the current gradient and rescales survivors","raw current gradient is still written normally into m and v, so persistent state is not protected","elementwise sign of optimizer update times current gradient","no","no","one","one backward","one","no","no noisy-label protocol","ICLR algorithm and theory deep-read","one elementwise mask and reduction; minimal reported overhead","same agreement signal different intervention point","critical","deep_read","Closest signal-level prior: gradient-momentum agreement is already used, but only at the parameter-update layer.","T4-M1;T4-M3;T2-M1","A candidate using the same sign/agreement detector must claim novelty only from the state-write/current-effect separation and noisy-label evidence, not from agreement itself."
"O12","Gradient Agreement Hinders the Memorization of Noisy Labels","2023","published","Applied Sciences","https://www.mdpi.com/2076-3417/13/3/1823","10.3390/app13031823","","","official_journal_html_verified","gradient_agreement","co-training gradient agreement","parameter gradients of multiple networks","updates only parameter coordinates whose gradient directions agree across peer networks","backend optimizer state receives already-masked gradients; no isolated state-write intervention is described","cross-network coordinate-wise gradient sign agreement with class-distribution agreement sampling","no","no","three","multiple model forwards and backwards","co-training plus third-network supervision","no","direct synthetic and real noisy-label evidence","official algorithm description and ablations reviewed","training-time comparison reported but three models dominate cost","same agreement signal in noisy labels","high","deep_read","Kills any claim that gradient agreement is new for noisy-label memorization; differs sharply in model count and intervention layer.","T4-M2;T4-M3;T6-M1","Not compatible with strict single-model low-overhead constraints and does not preserve current gradients while blocking state writes."
"O13","Early-Learning Regularization Prevents Memorization of Noisy Labels","2020","published","NeurIPS 2020","https://proceedings.neurips.cc/paper_files/paper/2020/hash/ea89621bee7c88b2c5be6681c8ef4906-Abstract.html","","","https://github.com/shengliu66/ELR","official_neurips_page_and_pdf_verified","low_overhead_direct","loss regularization with prediction targets","per-example prediction EMA outside optimizer","adds a regularization gradient to every current update","historical model predictions persist per example and oppose late noisy-label memorization; optimizer m/v are not separately controlled","per-example EMA prediction consistency","no","no","one for ELR; two for ELR+","one main-model pass for ELR","one","no","direct synthetic and real noisy-label evidence","published objective and experiments reviewed","ELR is single-model but stores per-example targets; ELR+ is materially heavier","strong simple temporal baseline","high","context","Mandatory low-overhead noisy-label baseline because it uses temporal memory without optimizer-state surgery.","T6-M1;T6-M2;T4-M1","Its memory scales with dataset examples and it changes the loss/current gradient; it is not an optimizer-only state mechanism."
"O14","Towards Robust and Generalized Parameter-Efficient Fine-Tuning for Noisy Label Learning","2024","published","ACL 2024 Long","https://aclanthology.org/2024.acl-long.322/","10.18653/v1/2024.acl-long.322","2411.00873","","official_acl_page_and_pdf_verified; helper_unverified_tls_timeout","noisy_peft","CleaR over PEFT optimizers","PEFT activation route; downstream optimizer state","likely-noisy examples probabilistically bypass PEFT modules so their current gradients to those modules are reduced or absent","because bypassed modules receive no corresponding gradient their optimizer state is also protected, without separating current and persistent effects","previous-epoch loss GMM and stochastic per-layer routing","no mechanism-level clean reference; tuning caveat remains","no","one","extra consistency forwards with cached ensemble predictions","warm-up then routing","direct across Adapter BitFit prompt tuning and LoRA","direct noisy-label PEFT evidence","existing deep-read matrix P01","no complete end-to-end wall-clock or VRAM comparison","PEFT routing blocks current and state together","critical","context","Closest application prior for protecting PEFT capacity from noisy exposure under unknown noise rate.","T5-M1;T5-M2;T6-M2","Does not operate specifically on Adam moments and does not preserve the current noisy example's parameter effect."
"O15","Why LoRA Resists Label Noise: A Theoretical Framework for Noise-Robust Parameter-Efficient Fine-Tuning","2026","preprint","arXiv","https://arxiv.org/abs/2602.00084","","2602.00084","","official_arxiv_page_and_pdf_verified; helper_unverified_tls_timeout","noisy_peft","RACT with dual LoRA ranks","adapter parameters and loss discrepancy","both low- and high-rank adapters are trained; current gradients are not separated from optimizer state","rank-specific training histories create a discrepancy used for noise detection and optional retraining","loss discrepancy between low- and high-rank adapters","optional clean held-out validation recommended","threshold may use estimated noise rate","two adapters","two adapter training paths","three plus optional retrain","direct","direct symmetric noisy-label evidence","existing deep-read matrix P04","roughly doubles training time before optional retraining","dual-rank temporal detector","high","context","Strong 2026 PEFT-specific temporal prior, but much heavier than an optimizer-state plug-in.","T5-M1;T5-M2;T5-M3","Single-author preprint with restrictive theory assumptions; not evidence for m-only state control."
"O16","Weed Out, Then Harvest: Dual Low-Rank Adaptation is an Effective Noisy Label Detector for Noise-Robust Learning","2025","published","Findings of ACL 2025","https://aclanthology.org/2025.findings-acl.792/","10.18653/v1/2025.findings-acl.792","2510.10208","","official_acl_page_and_pdf_verified; helper_unverified_tls_timeout","noisy_peft","Delora dual LoRA detector","two adapter parameter histories","current examples affect clean and noisy adapters under opposite temporal constraints","separate adapter memories drive a detector before downstream retraining","per-sample clean-versus-noisy adapter loss difference plus external labels","yes: clean development set and GPT-4o support","no","dual adapters plus downstream classifier and GPT-4o","multiple","two","direct","direct synthetic and real noisy-label text evidence","existing deep-read matrix P03","dual adapters and external-model calls; cost not fully accounted","dual-adapter temporal separation","high","context","Kills broad claims around temporal LoRA separation but violates the strict self-contained low-cost contract.","T5-M1;T5-M3;T6-M1","Must be described as using GPT-4o twice and clean-development tuning; not an optimizer-state baseline."
"O17","Handling Label Noise via Instance-Level Difficulty Modeling and Dynamic Optimization","2025","published","NeurIPS 2025","https://proceedings.neurips.cc/paper_files/paper/2025/hash/429e7b31625a8b7839f9e4d6e2aa9bb9-Abstract-Conference.html","","","https://github.com/iTheresaApocalypse/IDO","official_neurips_page_and_pdf_verified; helper_unverified_tls_timeout","low_overhead_direct","IDO two-stage dynamic loss","per-example wrong-event history","stage two reweights supervised pseudo-label and two-view consistency gradients by inferred cleanliness and difficulty","persistent sample history and mixture fits shape future losses; optimizer state is downstream and not isolated","wrong-event counts plus class-wise beta mixture","no","no","one","two augmented forwards in stage two","two","indirect: pretrained ViT evaluation","direct synthetic and real noisy-label evidence","existing deep-read matrix P08","reported per-epoch seconds and VRAM on A100; five plus ten epochs","strong temporal-statistic baseline","high","context","Main strong recent baseline against claims based only on cheap temporal statistics.","T6-M1;T6-M2;T4-M1","Two-stage and two-view costs differ from a one-pass optimizer plug-in."
"O18","MGUP: A Momentum-Gradient Alignment Update Policy for Stochastic Optimization","2026","preprint","arXiv","https://arxiv.org/abs/2606.17526","","2606.17526","https://github.com/MaeChd/MGUP","official_arxiv_page_verified","gradient_agreement","plug-in for AdamW Lion and Muon","parameter step sizes","uses momentum-gradient alignment to assign larger or smaller nonzero step sizes to a fixed proportion of parameter coordinates","base optimizer state formation is not the selected intervention target","momentum-gradient alignment and fixed selection proportion","no","no","one","one backward","one","noisy PEFT not shown","no noisy-label evidence","abstract and official preprint metadata reviewed","claimed plug-in overhead; full wall-clock not yet deep-audited","alignment-based selective parameter update","high","deep_read","Recent direct terminology and signal threat; must be separated from state-write gating.","T2-M1;T4-M1;T4-M3","Preprint appeared in June 2026; current evidence does not establish selective protection of Adam moment writes."
"O19","Adaptive t-Momentum-based Optimization for Unknown Ratio of Outliers in Amateur Data in Imitation Learning","2021","preprint","arXiv","https://arxiv.org/abs/2108.00625","","2108.00625","","official_arxiv_page_verified","robust_adam_momentum","adaptive t-momentum Adam","m primarily","extends t-momentum with automatic robustness so outlying demonstrations are downweighted in current optimization","robust first-moment accumulation reduces persistence of imperfect demonstrations","adaptive Student-t heaviness estimate","no","unknown outlier ratio is handled","one","one backward","one","no","imperfect-demonstration rather than label-noise evidence","official abstract and TAdam lineage reviewed","Adam-like pass count; adaptation details require baseline implementation audit","adaptive robust first moment","high","deep_read","Shows TAdam's first-moment robustification was already extended to unknown outlier ratios.","T3-M1;T3-M2;T6-M2","Application is behavioral cloning and not PEFT; still a direct mechanistic prior for unknown-contamination settings."
