id,cluster,title,authors,year,venue,venue_type,link,publication_status,research_problem,contribution_type,core_method,datasets,baselines,metrics,code_available,key_evidence,limitations,relevance_to_project
A01,A,LoRA: Low-Rank Adaptation of Large Language Models,Hu et al. (Microsoft),2021,NeurIPS,conference,https://arxiv.org/abs/2106.09685,published,10,000x fewer params for LLM adaptation,method,Low-rank weight decomposition W+BA with r<<min(d,k); merge into original weights for zero inference overhead,GLUE/E2E NLG/WikiSQL/SAMSum,full fine-tuning,Accuracy/BLEU/GPU memory,Yes (HuggingFace PEFT),Matches/exceeds full fine-tuning across RoBERTa/DeBERTa/GPT-2/GPT-3,Rank selection heuristic; NLP-originated may not be optimal for vision,Cornerstone PEFT method; r=8-16 fits 16GB VRAM
A02,A,CoOp/CoCoOp: Learning to Prompt for Vision-Language Models,Zhou et al. (NTU Singapore),2022,IJCV/CVPR,journal/conference,https://arxiv.org/abs/2109.01134,published,Replace hand-crafted CLIP prompts with learnable continuous vectors,method,Learnable context vectors (CoOp static; CoCoOp instance-conditional via meta-network),11 datasets (ImageNet/Caltech101/OxfordPets/StanfordCars/Flowers102/Food101/FGVCAircraft/SUN397/DTD/EuroSAT/UCF101),CLIP zero-shot/hand-crafted prompts,Top-1 accuracy; base-to-new generalization,Yes (github.com/KaiyangZhou/CoOp),16-shot CoOp 63.33% vs CLIP zero-shot 56.77%; CoCoOp Harmonic mean 75.83%,CoOp overfits to base classes; CoCoOp inference 160ms/image vs 6ms,Standard CLIP PEFT starting point
A03,A,VPT: Visual Prompt Tuning,Jia et al. (Cornell/CUHK/Facebook AI),2022,ECCV,conference,https://arxiv.org/abs/2203.12119,published,First systematic prompt tuning for pure vision encoders,method,Learnable prompt tokens in ViT input space; VPT-Shallow (first layer) and VPT-Deep (every layer),VTAB-1K (19 tasks)/FGVC,Full fine-tuning/Adapter/Bias tuning,Top-1 accuracy across 24 tasks,Yes (github.com/kmnp/vpt),Outperforms full fine-tuning in 20/24 tasks; especially strong in low-data regimes,Requires tuning prompt count per task; prompts add inference cost,Core baseline for pure vision PEFT
A04,A,SSF: Scaling & Shifting Your Features,Lian et al. (NUS/ByteDance),2022,NeurIPS,conference,https://proceedings.neurips.cc/paper_files/paper/2022/hash/00bb4e415ef117f2dee2fc3b778d806d-Abstract-Conference.html,published,Can only 0.3M params surpass full fine-tuning?,method,Learnable scale+shift per operation (MSA/MLP/LayerNorm); re-parameterization for zero inference overhead,FGVC (5 datasets)/VTAB-1K (19 tasks)/OOD robustness,Full fine-tuning/Adapter/Bias/VPT,Top-1 accuracy,Yes (github.com/dongzelian/SSF),VTAB-1K 73.10% vs full FT 65.57% (+11.48%); FGVC 90.72% vs 88.54%,Linear-only may be insufficient for large domain gaps,Best for extreme budget: 0.3M params + zero inference overhead
A05,A,AdaptFormer: Adapting Vision Transformers,Chen et al. (HKU/Tencent AI Lab),2022,NeurIPS,conference,https://arxiv.org/abs/2205.13535,published,Replace frozen ViT MLP with learnable adapter for video,method,Parallel AdaptMLP (down-proj→ReLU→up-proj+residual) with <2% extra params,VTAB-1K/SSv2/HMDB51/Kinetics-400,Full fine-tuning/VPT,Top-1 accuracy,Yes (github.com/ShoufaChen/AdaptFormer),+10% SSv2; +19% HMDB51 vs full FT with 1.5% extra params,Adapters add inference latency (unlike LoRA/SSF),Important adapter baseline for video
A06,A,Tip-Adapter: Training-Free Adaptation of CLIP,Zhang et al. (CUHK/Shanghai AI Lab),2022,ECCV,conference,https://arxiv.org/abs/2207.09519,published,Can CLIP adapt without any SGD?,method,Key-value cache from few-shot features; cosine similarity retrieval blended with CLIP zero-shot prediction,11 few-shot classification datasets,CoOp/CLIP-Adapter,Top-1 accuracy (1-16 shots),Yes (github.com/gaopengcuhk/Tip-Adapter),Comparable to CoOp/CLIP-Adapter without SGD; Tip-Adapter-F SOTA with ~10x fewer epochs,Cache grows with few-shot samples; retrieval adds test latency,Training-free baseline for budget-aware scenarios
A07,A,MaPLe: Multi-modal Prompt Learning,Khattak et al. (MBZUAI/Linkoping),2023,CVPR,conference,https://github.com/muzairkhattak/multimodal-prompt-learning,published,First coupled vision-language prompt learning,method,Vision-language prompt coupling function; deep prompting in both branches,11 datasets + 10 cross-dataset,Harmonic mean: 78.55%; +2.72% over CoCoOp,3.55M params (77x PromptSRC); coupling adds computation,SOTA multi-modal prompting for understanding trade-offs
A08,A,KgCoOp: Knowledge-Guided Context Optimization,Yao et al. (CASIA),2023,CVPR,conference,https://github.com/htyao89/KgCoOp,published,Prevent catastrophic forgetting of CLIP knowledge in prompt tuning,method,Euclidean distance regularization between learned and hand-crafted prompt embeddings,11 datasets + 4 ImageNet variants,CoOp/CoCoOp/ProGrad,Base/New/Harmonic mean,Yes,Harmonic mean 77.0; New accuracy 73.6 (best); training speed=CoOp (6ms/img),Regularization strength lambda is dataset-dependent,Simple effective regularization principle; transferable design philosophy
A09,A,PromptSRC: Self-Regulating Prompts,Khattak et al. (MBZUAI/ANU/Google),2023,ICCV,conference,https://github.com/muzairkhattak/PromptSRC,published,Can we achieve SOTA prompt tuning with only 46K params?,method,Mutual agreement maximization+Gaussian prompt aggregation+textual diversity,11 datasets + remote sensing,MaPLe/CoCoOp/KgCoOp,Harmonic mean,Yes,Harmonic mean 79.97% (+1.42% MaPLe); only 46K params,Three regularization components add implementation complexity,Best prompt learning for parameter efficiency; 46K params ideal for 16GB
A10,A,PLOT: Prompt Learning with Optimal Transport,Chen et al. (CMU/MBZUAI/Tsinghua),2023,ICLR,conference,https://github.com/CHENGY12/PLOT,published,Learn multiple diverse prompts aligned with local image regions,method,Optimal transport (Sinkhorn) for multi-prompt-vision alignment,11 benchmark datasets,CoOp,few-shot accuracy (1-16 shots),Yes,Significantly outperforms CoOp; fine-grained matching avoids single-prompt convergence,4 prompts/class increase params; Sinkhorn entropy needs tuning,Multi-prompt diversity mechanism; OT framework theoretically elegant
A11,A,Convpass: Convolutional Bypasses for ViT Adapters,Jie et al. (Peking University),2024,ECAI,conference,https://github.com/JieShibo/PETL-ViT,published,NLP-ported PEFT lack visual inductive bias; can conv fix this?,method,Convolutional bottleneck blocks in parallel with frozen transformer blocks; 2D spatial structure restoration,VTAB-1K/FGVC (5 datasets),LoRA/Adapter/VPT/NOAH,VTAB-1K Average accuracy; FGVC few-shot,Yes,VTAB-1K 76.6% (vs LoRA 74.5%/full FT 68.9%); 0.33M params,Conv design tailored to ViT; not directly applicable to other architectures,KEY INSIGHT: vision-tailored PEFT outperforms NLP-ported PEFT on vision
A12,A,DoRA: Weight-Decomposed Low-Rank Adaptation,Liu et al. (NVIDIA/HKUST),2024,ICML,conference,https://github.com/NVlabs/DoRA,published,Can decomposing weights into magnitude+direction improve LoRA?,method,W = m*(V/||V||) + BA; magnitude learned independently; direction low-rank updated,LLaVA/VL-BART/Commonsense reasoning/VTAB-1K,Standard LoRA,Accuracy/BLEU/CIDEr,Yes,Consistently outperforms LoRA on vision-language tasks; no inference overhead,Slightly more complex; magnitude learning adds d params,Potential upgrade over standard LoRA; extra capacity may help very low-shot
A13,A,Lessons from a Unifying Study of PEFT in Visual Recognition,Mai et al. (Ohio State/Google),2025,CVPR,conference,https://openaccess.thecvf.com/content/CVPR2025/html/Mai_Lessons_and_Insights_from_a_Unifying_Study_of_Parameter-Efficient_Fine-Tuning_CVPR_2025_paper.html,published,How different are PEFT methods really when properly tuned?,diagnostic,Hyperparameter-tuned comparison of VPT/Adapter/LoRA/BitFit/SSF on VTAB-1K,VTAB-1K (19 tasks),VPT/Adapter/LoRA/BitFit/SSF,Top-1 accuracy; robustness to distribution shift,No,"(1) ALL methods similar when tuned; (2) complementary errors enable ensembles; (3) PEFT preserves robustness better than full FT",VTAB-1K only; HP tuning itself expensive,THE key motivation: method selection matters less than auto HP tuning→ supports project thesis
A14,A,Fine-tuning LLMs with Limited Data: Survey and Guide,Szep et al.,2026,TACL,journal,https://aclanthology.org/2026.tacl-1.17/,published,Best practices for fine-tuning under limited data and GPU budget?,survey,Survey codifying: QLoRA as default; moderate LoRA rank (16-32); top-2 layer freezing; data quality>quantity,GLUE/SuperGLUE/NLP benchmarks,N/A (survey),Accuracy/F1/GPU memory/training time,N/A (survey),QLoRA on quantized larger model > full FT on smaller model; random search reduces HP time 30%; 100K tokens continued pre-training effective,NLP-focused; vision PEFT not extensively covered,Directly applicable guidelines: QLoRA+rank 16-32=16GB GPU optimal
A15,A,CLIP-Adapter: Better Vision-Language Models with Feature Adapters,Gao et al. (SJTU/CUHK),2024,IJCV,journal,https://github.com/gaopengcuhk/CLIP-Adapter,published,Can simple feature adapters improve CLIP few-shot?,method,Bottleneck adapter on CLIP visual/visual+textual features,11 datasets,CoOp/zero-shot CLIP/linear probe CLIP,Top-1 accuracy,Yes,Competitive or better than CoOp with simpler design; no prompt engineering needed,Adapter adds inference cost (unlike prompt methods),Simple adapter baseline; SJTU+CUHK=Chinese-relevant
