work_id,title,year,status,venue,primary_url,verification_status,code_url,task_modalities,backbone_family,peft_method,data_defects,noise_assumed_known,clean_reference_required,extra_models,extra_training_stages,core_mechanism,main_claim,mechanism_evidence,efficiency_reported,strongest_result,reported_limitations,overlap_with_candidate_A,overlap_with_candidate_B,direct_prior_risk,audit_notes
P01,"Towards Robust and Generalized Parameter-Efficient Fine-Tuning for Noisy Label Learning",2024,published,"ACL 2024 Long","https://aclanthology.org/2024.acl-long.322/","primary_page_verified; helper_unverified_tls_timeout",not_reported,text,"pretrained language models","multiple PEFT methods; CleaR routing",label_noise,not_reported,no,not_reported,not_reported,"adaptively routes likely clean examples through PEFT modules and bypasses suspected noisy examples","protect PEFT modules from noisy interference while retaining parameter efficiency","comparisons across PEFT methods and multiple synthetic noisy-label configurations","trainable parameters reported; complete wall-clock and scorer cost pending full-text extraction","substantial improvement over compared PEFT methods under noisy labels","capacity that resists memorization can also impair clean-example learning; detailed compute assumptions pending full-text audit",candidate_not_generated,candidate_not_generated,high:"direct prior for PEFT clean routing","Search date 2026-07-31. Official ACL long-paper page verifies title authors venue DOI and abstract. Full method appendix and cost extraction pending."
P02,"Fine tuning Pre trained Models for Robustness Under Noisy Labels",2024,published,"IJCAI 2024","https://www.ijcai.org/proceedings/2024/403","primary_page_verified; helper_unverified_tls_timeout",not_reported,vision,"pretrained vision models","full fine-tuning after classifier tuning",label_noise,not_reported,no,one_model,two,"first tunes a linear classifier to protect pretrained features then reduces the noisy subset and fine-tunes the full model","efficiently transfer pretrained knowledge under noisy labels without relying on expensive conventional noisy-label pipelines","analysis of pretrained-model behavior plus multi-benchmark comparison","efficiency is a stated objective; exact wall-clock VRAM and data-access accounting pending full-text extraction","reported improved denoising and classification across benchmarks","two-stage procedure and subset-reduction assumptions require direct comparison with any proposed warm-up or filtering method",candidate_not_generated,candidate_not_generated,high:"direct prior for two-stage pretrained-model filtering","Search date 2026-07-31. IJCAI proceedings page verifies formal publication. Also appears as arXiv 2310.17668."
P03,"Weed Out, Then Harvest: Dual Low-Rank Adaptation is an Effective Noisy Label Detector for Noise-Robust Learning",2025,published,"Findings of ACL 2025","https://aclanthology.org/2025.findings-acl.792/","primary_page_verified; helper_unverified_tls_timeout","not_reported",text,"large language models","dual LoRA",label_noise,not_reported,no,"clean LoRA plus noisy LoRA",two,"uses separate clean/noisy LoRA modules; the noisy module acts as a sample-dependent threshold before downstream training","decoupling noisy-label detection from classifier training avoids the feedback loop of small-loss selection","noise-detection and classification experiments on synthetic and real noisy text datasets","reports parameter and memory overhead; full selection and external relabeling cost pending full-text extraction","reported accuracy gains over standard LoRA under multiple noise levels","Findings not CCF-A full; later relabeling may use an external LLM; dual modules add memory and training stages",candidate_not_generated,candidate_not_generated,high:"direct prior for dual-adapter noise detection","Search date 2026-07-31. Official ACL Findings page verifies status; must not be described as ACL main-conference full paper."
P04,"Why LoRA Resists Label Noise: A Theoretical Framework for Noise-Robust Parameter-Efficient Fine-Tuning",2026,preprint,arXiv,"https://arxiv.org/abs/2602.00084","arxiv_page_resolved; helper_unverified_tls_timeout","not_reported","vision;text","pretrained transformers","LoRA; rank-aware comparison",label_noise,yes,no,"two low-rank adapters in RACT",not_reported,"derives rank-dependent memorization and optimal-rank relations and exploits temporal separation through rank discrepancy","LoRA rank limits noisy-label memorization and lower optimal rank is predicted as noise increases","theorems plus noise-detection and classification experiments","trainable rank discussed; full wall-clock memory and two-adapter cost pending full-text extraction","reported strong noise-detection F1 and retained task accuracy","single-author preprint; assumptions and theorem-to-deep-network transfer require scrutiny; RACT uses two adapters",candidate_not_generated,candidate_not_generated,high:"direct prior for rank scheduling rank discrepancy and PEFT temporal noise detection","Search date 2026-07-31. arXiv metadata resolved separately; publication remains preprint."
P05,"Compute-Constrained Data Selection",2025,published,"ICLR 2025","https://openreview.net/forum?id=4es2oO9tw1","primary_page_verified; helper_unverified_tls_timeout","not_reported",text,"language models","fine-tuning setting",not_specific_to_noise,no,not_reported,"selection model or metric may vary",not_reported,"defines a cost-aware utility that trades data-selection cost against downstream fine-tuning gain across model and token budgets","expensive perplexity and gradient selectors are often not compute-optimal; cheap alternatives can dominate","large sweeps over selection compute model-size ratios and fine-tuning tokens","selection and training compute are both in the objective","reports compute-optimal regimes including required training-to-selection model-size ratios","focuses on language-model fine-tuning rather than unknown mixed data defects",candidate_not_generated,candidate_not_generated,high:"critical direct prior for counting selector cost inside fixed-budget training","Search date 2026-07-31. Official OpenReview page verifies ICLR 2025 poster status."
P06,"Computational Budget Should Be Considered in Data Selection",2025,published,"NeurIPS 2025 Main","https://proceedings.neurips.cc/paper_files/paper/2025/hash/22c799f287fd05e7174fd65a3ce134af-Abstract-Conference.html","primary_page_verified; helper_unverified_tls_timeout","not_reported","vision;text","classification and language benchmarks",not_reported,not_specific_to_noise,no,not_reported,not_reported,nested_bilevel_optimization,"bilevel inner training plus outer selection optimization","probabilistically reparameterizes budget-conditioned subset selection and avoids Hessian and full inner-loop solutions","bilevel objective plus experiments across budgets and modalities","compute budget is explicit; full optimizer overhead and single-GPU feasibility pending full paper","reports gains up to 14.42 percent over compared selectors","not designed for low-quality-data defect identification; bilevel optimization may be too costly for the local regime",candidate_not_generated,candidate_not_generated,high:"critical direct prior for budget-conditioned allocation","Search date 2026-07-31. Official NeurIPS main-track page verifies publication."
P07,"MATES: Model-Aware Data Selection for Efficient Pretraining with Data Influence Models",2024,published,"NeurIPS 2024 Main","https://proceedings.neurips.cc/paper_files/paper/2024/hash/c4bec0d2fd217e6c2c3eafeced432582-Abstract-Conference.html","primary_page_verified; helper_unverified_tls_timeout","not_reported",text,"language models",not_reported,web_data_quality,no,not_reported,"a separate small data-influence model",multiple_local_probes,"locally probes the changing learner to collect oracle influence and continually updates a small model that selects currently useful data","model-aware dynamic selection improves pretraining efficiency over static quality rules or fixed reference models","online influence-model training and pretraining experiments","selection-model and probing costs exist; exact accounting pending full-text extraction","reported more effective pretraining data selection than static alternatives","large-scale pretraining setting and auxiliary influence model may not transfer economically to one GPU",candidate_not_generated,candidate_not_generated,high:"direct prior for time-varying learned sample utility","Search date 2026-07-31. Official NeurIPS main-track page verifies publication."
P08,"Handling Label Noise via Instance-Level Difficulty Modeling and Dynamic Optimization",2025,published,"NeurIPS 2025 Main","https://proceedings.neurips.cc/paper_files/paper/2025/hash/429e7b31625a8b7839f9e4d6e2aa9bb9-Abstract-Conference.html","primary_page_verified; helper_unverified_tls_timeout","https://github.com/iTheresaApocalypse/IDO",vision,"deep classifiers",not_reported,"synthetic and real label noise",no,no,one_model,two,"collects wrong-event histories to model both cleanliness and difficulty then applies probabilistic dynamic weighting","instance-level dynamic optimization can improve robustness while reducing tuning storage and compute relative to prior noisy-label pipelines","six synthetic and real noisy-label benchmarks","reports nearly 75 percent reduction in storage and computational time; absolute wall-clock pending extraction","reported state-of-the-art performance on six benchmarks","two-stage training and history collection remain costs; defect coverage is primarily label noise",candidate_not_generated,candidate_not_generated,high:"direct prior for low-cost joint cleanliness-difficulty scoring","Search date 2026-07-31. Official NeurIPS main-track page verifies publication and code link."
P09,"Enhancing Sample Selection Against Label Noise by Cutting Mislabeled Easy Examples",2025,published,"NeurIPS 2025 Main","https://proceedings.neurips.cc/paper_files/paper/2025/hash/3e826f682178d9830a3b704141b4989e-Abstract-Conference.html","primary_page_verified; helper_unverified_tls_timeout","not_reported",vision,"deep image classifiers",not_reported,"synthetic and real label noise",not_reported,no,one_model,not_reported,"uses a later training state to recalibrate an early confident subset and remove mislabeled-easy examples","mislabeled examples that are predicted correctly early can be more harmful than other mislabeled data and require targeted removal","CIFAR WebVision and full ImageNet-1k experiments","selection-history and recalibration cost pending full-text extraction","reported improved selection and model performance through fewer mislabeled-easy examples","focuses on label noise; later-state recalibration may delay usable selection decisions",candidate_not_generated,candidate_not_generated,high:"direct prior for separating difficulty from harmful mislabeled-easy behavior","Search date 2026-07-31. Official NeurIPS main-track page verifies publication."
P10,"Debiased Sample Selection for Learning with Noisy Labels",2026,published,"CVPR 2026","https://openaccess.thecvf.com/content/CVPR2026/html/Pan_Debiased_Sample_Selection_for_Learning_with_Noisy_Labels_CVPR_2026_paper.html","primary_page_verified; helper_unverified_tls_timeout","https://github.com/Aliinton/DSS",vision,"deep image classifiers",not_reported,"synthetic and real label noise",no,no,one_model,not_reported,"adjusts class-level marginal selection and uses candidate-class dynamics to avoid both easy-class and spuriously-low-loss confirmation bias","plug-in debiasing improves existing selectors while preserving hard samples and preventing wrong-label memorization","CIFAR-N Clothing1M WebVision and synthetic-noise experiments plus trajectory analysis","plug-in overhead pending full paper and supplement extraction","reported consistent gains when added to existing selectors and advanced LNL pipelines","limited to classification label noise; dependence on uniform-target adjustment may interact with real imbalance",candidate_not_generated,candidate_not_generated,high:"direct prior for hard-clean preservation and confirmation-bias correction","Search date 2026-07-31. CVF official page verifies CVPR full-paper status and code."
